Recipe_Name,Review_Count,Author,Prepare_Time,Cook_Time,Total_Time,Ingredients,Directions,RecipeID,Recipe_Photo
Maple Muffins Recipe ,43,Jan Bittner,10 m,20 m,30 m,"flour,white sugar,baking powder,salt,shortening,oat,egg,milk,maple syrup","Preheat oven to 400 degrees F (205 degrees C).  Grease the cups of a 12-cup muffin pan.**Sift together flour, sugar, baking powder and salt.   Cut in shortening until mixture resembles coarse crumbs.  Stir in oats.  Add egg, milk, and syrup.  Stir only until dry ingredients are moistened.  Fill greased muffin tins 3/4 full.**Bake for 18 to 20 minutes.  Remove from oven, and let stand a few minutes before removing muffins from the pan.**",7015,https://images.media-allrecipes.com/userphotos/560x315/6097687.jpg
French Toast I Recipe ,1k,Jan Bittner,5 m,15 m,20 m,"bread,egg,milk,cinnamon,nutmeg,vanilla,salt","Beat together egg, milk, salt, desired spices and vanilla.**Heat a lightly oiled griddle or skillet over medium-high heat.**Dunk each slice of bread in egg mixture, soaking both sides.  Place in pan, and cook on both sides until golden.  Serve hot.**",7016,https://images.media-allrecipes.com/userphotos/560x315/234562.jpg
Angel Biscuits II Recipe ,157,Karin Christian,35 m,10 m,1 h 45 m,"yeast,water,buttermilk,flour,baking powder,baking soda,salt,white sugar,shortening","In a small bowl, dissolve yeast in warm water. Let stand until creamy, about 5 minutes. Add buttermilk to yeast mixture, and set aside.**In a large bowl, combine flour, sugar, baking powder, baking soda, and salt. Cut in shortening with a pastry blender until mixture resembles coarse meal. Stir in yeast mixture until dry ingredients are moistened. Turn dough out onto a floured surface, and knead 4 or 5 times.**On a lightly floured surface, roll dough to 1/2 inch thickness. Cut out biscuits with a 2 1/2 inch round cutter. Place on lightly greased baking sheets, barely touching each other. Cover, and let rise in a warm place free from drafts for 1 hour, or until almost doubled in size. Preheat oven to 425 degrees F (220 degrees C).**Bake in preheated oven for 10 to 12 minutes, or until browned.**",7018,https://images.media-allrecipes.com/userphotos/560x315/45561.jpg
Fudgy Chocolate Chip Muffins Recipe ,159,LITSTER5,10 m,25 m,35 m,"applesauce,margarine,white sugar,brown sugar,egg,vanilla,flour,cocoa powder,baking soda,cinnamon,chocolate,sugar","^Preheat oven to 350 degrees F (175 degrees C). Line muffin cups (2-1/2 inches in diameter) with paper bake cups.**In large mixer bowl, beat butter, sugar, brown sugar, egg, and vanilla until well blended. Add applesauce, blend well.**In a separate bowl, stir together flour, cocoa, baking soda, and cinnamon, if desired. Add to butter mixture, blending well. Stir in chocolate chips. Fill muffin cups 3/4 full with batter.**Bake at 350 degrees F (175 degrees C) for 22 to 26 minutes or until wooden pick inserted in center comes out almost clean. Cool slightly in pan on wire rack. Sprinkle muffin tops with confectioners^^ sugar, if desired. Serve warm.**^",7019,https://images.media-allrecipes.com/userphotos/560x315/4467940.jpg
Pumpernickel Bread II Recipe ,26,Clem Zulinski,30 m,1 h,2 h 30 m,"milk,vegetable oil,molasses,bread,flour,cornmeal,salt,yeast,cocoa powder,brown sugar","Mix well bread flour, rye flour, cornmeal, salt, yeast, cocoa, and brown sugar. Add milk, oil, and molasses. Mix thoroughly. When mixed well enough that the dough holds together, knead by hand 15-20 minutes.**Cover, let rise in bowl 30 minutes. Punch down, form, and place into 9 1/2x5 inch pan. Cover with damp cloth and let rise about 1 hour.**Bake in preheated 375 degree F (190 degrees C) oven 25 to 30 minutes, covering top with aluminum foil last 10 minutes.**",7020,https://images.media-allrecipes.com/userphotos/560x315/798353.jpg
Indian Naan II Recipe ,107,Michelle Chen,25 m,20 m,2 h 25 m,"water,yeast,white sugar,flour,salt,ghee,yogurt,onion","Whisk the warm water with the yeast and sugar until the yeast is dissolved. Cover and let stand in a warm place for 10 minutes.**Sift flour and salt three times into a large bowl add the yeast mixture, half of the ghee and all the yogurt. Mix into a soft dough then knead on a floured surface for about 5 minutes or until dough is smooth and elastic. Place the dough in a large greased bowl, cover and let stand in a warm place for 1 1/2 hours or until the dough is doubled in size .**Punch down dough then knead for 5 minutes. Divide dough into 6 pieces. Roll each piece out into 8 inch round naans.**Cover an oven tray with foil and grease the foil. Brush the naan with a little of the remaining ghee and sprinkle with some of the kalonji. Cook naan one at a time under the broiler for about 2 minutes on each side or until puffed and just browned.**",7021,https://images.media-allrecipes.com/userphotos/250x250/96729.jpg
Lefse II Recipe ,12,Brent,15 m,45 m,1 h,"buttermilk,corn syrup,white sugar,baking soda,cardamom,flour","In a large bowl, mix by hand sour milk or buttermilk, corn syrup, sugar, soda, cardamom, and flour until mixture becomes a soft pliable dough.**Divide the dough into 12 or so pieces. Roll out each piece until about 1/8 inch thick.**Bake on a lightly floured griddle over very low heat for 12 to 15 minutes per side. Serve warm with your favorite cheese or jam.**",7022,https://images.media-allrecipes.com/userphotos/560x315/996053.jpg
Banana Nut Bread Baked in a Jar Recipe ,223,Linda Jean,10 m,45 m,1 h 5 m,"shortening,white sugar,egg,banana,water,flour,baking powder,baking soda,salt,cinnamon,clove,pecan","^Preheat oven to 325 degrees F (165 degrees C). Grease insides of  8 (1 pint) straight sided, wide mouth canning jars.**In a large bowl, cream shortening and sugar until light and fluffy. Beat in eggs, bananas, and water. Sift together flour, baking powder, soda, salt, cinnamon, and cloves. Add to banana mixture. Stir in nuts.**Pour mixture into greased  WIDE MOUTH pint jars, filling 1/2 full of batter. Do NOT put lids on jars for baking. Be careful to keep the rims clean, wiping off any batter that gets on the rims.**Bake at 325 degrees F (165 degrees C) for 45 minutes. Meanwhile, sterilize the lids and rings in boiling water.**As soon as cake is done, remove from oven one at a time, wipe rims of jars and put on lid and ring. Jars will seal as cakes cool. Place the jars on the counter and listen for them to ""ping"" as they seal. If you miss the ""ping"", wait until they are completely cool and press on the top of the lid. If it doesn^^t move at all, it^^s sealed.**Jars should be eaten immediately or kept sealed in refrigerator for up to a week.**^",7024,https://images.media-allrecipes.com/userphotos/560x315/5110.jpg
Light Oat Bread Recipe ,671,LITSTER5,5 m,3 h,3 h 5 m,"water,margarine,salt,flour,oat,brown sugar,yeast",Add ingredients to bread machine pan in order recommended by your manufacturer. Use regular light setting.**,7025,https://images.media-allrecipes.com/userphotos/560x315/257322.jpg
Honey Oatmeal Bread I Recipe ,37,Frank De Lisi,5 m,3 h,3 h 5 m,"bread,whole wheat,oat,wheat germ,honey,milk,water,salt,butter,yeast","Place ingredients in the bread machine pan in the order suggested by the manufacturer. Select the multigrain setting, and press start.**",7026,https://images.media-allrecipes.com/userphotos/250x250/506180.jpg
Oatmeal Soda Bread Recipe ,44,Karin Christian,10 m,40 m,50 m,"flour,oat,salt,baking powder,baking soda,sour cream,milk,honey,white sugar,butter,butter","Preheat oven to 375 degrees F (190 degrees C).**In a large bowl, mix together flour, 1/2 cup oats, salt, baking powder, and baking soda.**In another bowl, mix together sour cream, milk, honey, and sugar.  Add to the flour mixture, and mix just until well blended.  Stir in melted butter or margarine.**Turn dough onto a lightly sprayed baking sheet.  Shape into a round, lightly mounded circle, about 8 inches diameter.  Brush the top of the loaf with melted butter or margarine, and sprinkle with remaining 1 tablespoon oats.  With a knife, score the top of the loaf into quarters.**Bake for about 40 minutes, or until browned.  Cool completely before slicing.**",7030,https://images.media-allrecipes.com/userphotos/560x315/4465760.jpg
^Mary Anne^^s Moist and Nutty Carrot Loaf Recipe ^,36,P.Weiss,15 m,45 m,1 h,"baking soda,salt,cinnamon,nutmeg,flour,carrot,pineapple,vegetable oil,white sugar,egg,walnut,raisin","Preheat oven to 375 degrees F (190 degrees C).  Grease and flour two 9x5 inch loaf pans.**Sift together baking soda, salt, spices, and flour.**In a large bowl, combine ground carrots, pineapple, oil, and sugar.  Mix in eggs.  Blend flour mixture into carrot mixture.  Mix well.  Fold nuts and raisins into batter.  Pour into prepared  pans.**Bake at 375 degrees F (190 degrees C)for 45 minutes, or until a toothpick inserted into bread comes out clean.**",7033,https://images.media-allrecipes.com/userphotos/560x315/2014006.jpg
Russian Black Bread Recipe ,176,Mary,15 m,3 h,3 h 15 m,"water,vinegar,bread,flour,salt,margarine,corn syrup,brown sugar,cocoa powder,coffee,caraway,fennel,yeast","Place ingredients into the bread machine in order suggested by the manufacturer.**Use the whole wheat, regular crust setting.**After the baking cycle ends, remove bread from pan, place on a cake rack, and allow to cool for 1 hour before slicing.**",7034,https://images.media-allrecipes.com/userphotos/250x250/36112.jpg
Basic Fruit Bread Recipe Recipe ,13,Helen H.,10 m,40 m,50 m,"flour,baking powder,baking soda,salt,white sugar,vegetable oil,egg,apple,walnut,vanilla","Preheat oven to 350 degrees F (175 degrees C). Grease one 4 1/2 x 8 1/2 inch loaf pan.**Mix flour, baking powder, soda, salt, sugar, oil, eggs, apple, walnuts, and vanilla only until dry ingredients are moistened.**Bake in greased 4 1/2 x 8 1/2 inch loaf pan at 350 degrees F (175 degrees C) for 35 to 40 minutes.**",7035,https://images.media-allrecipes.com/userphotos/250x250/535516.jpg
Angel Biscuit Rolls Recipe ,63,Laura,10 m,20 m,30 m,"flour,white sugar,baking powder,baking soda,salt,shortening,yeast,water,buttermilk,butter","Dissolve yeast in warm water.**Sift together flour, sugar, soda, baking powder, and salt. Add buttermilk and dissolved yeast. Add shortening and stir. Store dough, covered, in the fridge until ready to use.**Roll out on a lightly floured surface or shape into balls--these do not need to rise. Brush tops of biscuits with melted butter.**Bake at 400 degrees F (205 degrees C) for 15-20 minutes.**",7037,https://images.media-allrecipes.com/userphotos/250x250/184711.jpg
Panettone II Recipe ,46,Sandra Chan,5 m,3 h,3 h 5 m,"water,butter,egg,vanilla,bread,white sugar,milk,salt,bread,fruit","Place all of the ingredients except for the mixed fruit into the pan of your bread machine in order directed by manufacturer. Select Sweet or Basic/White bread cycle, and use the Medium or Light crust color. Do not use the delay cycles. Add the fruit 5 to 10 minutes before the last kneading cycle ends, or when the raisin or nut signal starts.**",7038,https://images.media-allrecipes.com/userphotos/560x315/278215.jpg
^J.P.^^s Big Daddy Biscuits Recipe ^,3k,John Pickett,30 m,15 m,45 m,"flour,baking powder,salt,white sugar,shortening,milk","Preheat oven to 425 degrees F (220 degrees C).**In a large bowl, whisk together the flour, baking powder, salt, and sugar. Cut in the shortening until the mixture resembles coarse meal. Gradually stir in milk until dough pulls away from the side of the bowl.**Turn out onto a floured surface, and knead 15 to 20 times. Pat or roll dough out to 1 inch thick. Cut biscuits with a large cutter or juice glass dipped in flour. Repeat until all dough is used. Brush off the excess flour, and place biscuits onto an ungreased baking sheet.**Bake for 13 to 15 minutes in the preheated oven, or until edges begin to brown.**",7040,https://images.media-allrecipes.com/userphotos/560x315/4512167.jpg
Bread Machine Challah I Recipe ,339,Suzy,5 m,3 h,3 h 5 m,"milk,egg,margarine,bread,white sugar,salt,yeast",Add ingredients to the pan of the bread machine in the order suggested by the manufacturer.**Select Basic Bread and Light Crust settings. Start.**,7043,https://images.media-allrecipes.com/userphotos/250x250/43320.jpg
Oatmeal Molasses Bread Recipe ,57,Liz B.,5 m,3 h,3 h 5 m,"yeast,oat,bread,salt,molasses,vegetable oil,water,honey","Place ingredients in the pan of the bread machine in the order suggested by the manufacturer.**Select White Bread setting, and Start.**",7046,https://images.media-allrecipes.com/userphotos/560x315/1081599.jpg
Zucchini Pineapple Bread I Recipe ,184,Michele,20 m,1 h,1 h 20 m,"egg,white sugar,vanilla,vegetable oil,cinnamon,nutmeg,pineapple,zucchini,flour,salt,baking soda,baking powder","Combine flour, baking powder, baking soda, and salt.**In a large bowl, mix oil, eggs, vanilla, sugar, cinnamon, and nutmeg.  Blend in pineapple and zucchini.  Stir flour mixture into zucchini mixture.  Pour batter into two greased and floured 9 x 5 inch loaf pans.**Bake at 350 degrees F (175 degrees C) for 1 hour.  Cool on wire racks.**",7048,https://images.media-allrecipes.com/userphotos/560x315/1326500.jpg
Pumpkin Swirl Bread Recipe ,132,ELLENMARIE,15 m,1 h 10 m,1 h 35 m,"cream cheese,white sugar,egg,flour,white sugar,baking soda,cinnamon,salt,nutmeg,pumpkin,butter,egg,water","Blend cream cheese, 1/4 cup sugar, and 1 beaten egg.  Set aside.**Combine flour, 1 1/2 cups white sugar, baking soda, salt, and spices.  Set aside.**Combine pumpkin, butter or margarine, beaten egg, and water.  Add flour mixture to pumpkin mixture, mixing just until moistened.  Reserve 2 cups of the pumpkin batter.  Pour the remaining batter into a greased and floured  9 x 5 inch loaf pan.  Pour cream cheese mixture over pumpkin batter, and top with reserved pumpkin batter.  Cut through batter several times with a knife for a swirl effect.**Bake at 350 degrees F (175 degrees C) for 70 minutes, or until tester comes out clean.  Cool in the pan for 10 minutes, and then remove from pan to cool completely.**",7049,https://images.media-allrecipes.com/userphotos/560x315/835912.jpg
Jule Kaka Recipe ,16,Janice,20 m,40 m,6 h,"milk,butter,salt,white sugar,yeast,water,flour,cardamom,cherry,citron,raisin,egg","Dissolve yeast in water.**Scald milk, and add melted butter or margarine, salt, sugar.  When lukewarm add to yeast and water.  Stir in 4 cups flour.  Cover, and place in a warm place.  Let rise for about 2 hours, or till doubled in bulk.**Punch down.  Stir in cardamom, cherries, raisins and citron.  Work in remaining flour until soft dough forms.  Let rise in warm place for 2 to 3 hours, or until doubled.**Knead slightly, and form into 4 round loaves.  Place on greased cookie sheets.  Let rise for 1 to 2 hours, or till doubled.  Brush loaves with beaten egg white.**Bake at 350 degrees F (175 degrees C) for 30 to 40 minutes, or until golden brown.**",7050,https://images.media-allrecipes.com/userphotos/560x315/290169.jpg
^Steve^^s Whole Wheat Recipe ^,11,Steve Lockhart,5 m,3 h,3 h 5 m,"water,milk,molasses,honey,margarine,white sugar,salt,flour,whole wheat,bread,yeast","Place the ingredients in the pan of the bread machine in the order recommended by the manufacturer.  Select Whole Wheat setting, and Start.**",7051,https://images.media-allrecipes.com/userphotos/560x315/1812319.jpg
Oatmeal Bread II Recipe ,59,Liz Bartholomew,5 m,3 h,3 h 5 m,"water,bread,honey,milk,salt,oat,margarine,yeast","Place ingredients in the pan of the bread machine in the order recommended by the manufacturer.  Select White Bread setting, and Start.**",7052,https://images.media-allrecipes.com/userphotos/250x250/57347.jpg
Coconut Pumpkin Nut Bread Recipe ,51,Kevin Ryan,10 m,1 h 15 m,1 h 35 m,"flour,brown sugar,white sugar,pumpkin,vegetable oil,coconut,baking soda,salt,nutmeg,cinnamon,coconut,walnut","Preheat oven to 350 degrees F (175 degrees C).  Grease and flour two 8 x 4 inch loaf pans.**Combine flour, sugars, pumpkin, oil, coconut milk, baking soda, salt, and spices.  Mix until well blended.  Fold in coconut and nuts.  Pour into prepared pans.**Bake for about 1 hour and 15 minutes, or until an inserted toothpick comes out clean.  Remove from oven.  Cover with foil tightly, and allow to steam 10 minutes.  Remove foil, and turn out onto cooling rack.  Tent lightly with the foil, and allow to cool completely.**",7053,https://images.media-allrecipes.com/userphotos/560x315/510657.jpg
Dizzy Pineapple Bread Recipe ,9,Nicole Ribecca,5 m,1 h,1 h 5 m,"pineapple,flour,white sugar,beer","Preheat oven to 350 degrees F (175 degrees C). Grease one 9x5 inch baking pan.**Combine the pineapple flour, sugar and beer. Do not overmix! Pour batter into the prepared pan.**Bake at 350 degrees F (175 degrees C) for about 1 hour or until bread tests done.**",7054,https://images.media-allrecipes.com/userphotos/250x250/407035.jpg
European Black Bread Recipe ,15,Jan,5 m,3 h,3 h 5 m,"water,vinegar,bread,flour,bran,margarine,white sugar,salt,caraway,onion,cocoa powder,yeast","Place the ingredients in the pan of the bread machine in the order suggested by the manufacturer. Select Normal setting, and then press Start.**",7055,https://images.media-allrecipes.com/userphotos/560x315/698.jpg
Chili Bread Recipe ,20,Joe Beck,5 m,3 h,3 h 5 m,"beer,beef,pepper,chile,olive,bread,cumin,onion,chili,garlic,salt,yeast","Place the ingredients in the pan of the bread machine in the order suggested by the manufacturer.  Select the French Bread or White Bread setting, and then press Start.**",7056,https://images.media-allrecipes.com/userphotos/560x315/1009074.jpg
Whole Wheat Honey Bread Recipe ,732,MELH,5 m,3 h,3 h 5 m,"water,whole wheat,salt,honey,milk,shortening,yeast","Place ingredients in bread machine pan in the order suggested by the manufacturer. Select Whole Wheat setting, and then press Start.**",7058,https://images.media-allrecipes.com/userphotos/560x315/19436.jpg
Carrot Thyme Bread Recipe ,6,Kevin,5 m,3 h,3 h 5 m,"yeast,flour,bread,cornmeal,white sugar,thyme,salt,water,carrot,vegetable oil","Place the  ingredients in the bread machine pan in the order suggested by the manufacturer.  Select Basic Bread setting, and then press Start.**Allow the loaf to cool before slicing.**",7059,https://images.media-allrecipes.com/userphotos/250x250/246728.jpg
Golly Gee Gluten,12,Kevin Ryan,10 m,15 m,25 m,"egg,apple juice,butter,flour,tapioca,flour,cinnamon,nutmeg,baking powder,salt","In a medium mixing bowl, beat the egg with the apple juice and melted butter. Add the remaining ingredients and stir.**Heat a lightly oiled griddle or frying pan over medium high heat. Pour or scoop the batter onto the griddle, using approximately 1/4 cup for each pancake. Brown on both sides and serve hot. This batter must be used right away and can not sit and wait.**",7060,https://images.media-allrecipes.com/userphotos/560x315/5187091.jpg
Amish Cinnamon Bread Recipe ,47,GINNY LEE,10 m,1 h,1 h 10 m,"bread,vegetable oil,white sugar,egg,vanilla,baking soda,baking powder,vanilla,flour,cinnamon,pecan,apple,raisin","Preheat oven to 325 degrees F (165 degrees C). Grease three 9x5 inch loaf pans.**Place the starter in a bowl, stir in the oil, sugar, eggs and vanilla and mix well.**Combine the flour, baking soda, baking powder, instant pudding, and cinnamon. Add the flour mixture to the starter mixture and beat by hand. Add the pecans, raisins  and apples and mix well. Pour batter into the prepared pans.**Bake at 325 degrees F (165 degrees C) for 1 hour.**",7064,https://images.media-allrecipes.com/userphotos/250x250/19056.jpg
French Herb Bread Recipe ,162,Aronna Palmer,30 m,30 m,2 h 40 m,"yeast,white sugar,salt,flour,milk,vinegar,water,margarine,onion,garlic,salt,parsley,margarine","In a large bowl combine the yeast, sugar, 1 teaspoon of the salt and 1 1/2 cups of the flour.**In a sauce pan combine the milk, water and 1/4 cup of the butter or margarine until 110 degrees F (38 degrees C). Add milk mixture and vinegar to the flour mixture and blend at low speed of the mixer until moistened. Beat at medium speed for 3 minutes.**Stir in 1 1/2 cups additional flour to form a sticky dough. Turn dough out onto a floured surface and knead adding 1/2  to 1 cup more of flour until dough is smooth and pliable. Place dough in a greased bowl and let rise in a warm place until doubled in volume.**Punch down dough and roll into a rectangle shape about 16x8 inches.**In a saucepan heat the onion, garlic, 1/2 teaspoon salt, parsley and 2 tablespoons butter or margarine until butter or margarine is melted. Spread over the dough rectangle and starting from the 16 inch side roll the dough up tightly like a jelly roll.**Place the bread seam side down onto a greased cookie sheet and let rise until doubled in sized.**Preheat oven to 400 degrees F (205 degrees C).**Bake bread until golden brown about 20 to 30 minutes. Brush hot bread with melted butter and sprinkle with chopped parsley.**",7065,https://images.media-allrecipes.com/userphotos/560x315/542031.jpg
Easy Rice Bread Recipe ,13,Lindsay Schott,20 m,1 h,2 h 50 m,"flour,brown rice,tea,gelatin,sugar,salt,egg,milk,yeast,egg,vinegar,walnut,water","To help insure success have all ingredients at room temperature before proceeding. Combine the white rice flour, brown rice flour, xanthan gum, and salt. Mix very well. The flours need to be completely combined.**Combine the gelatin, sugar, egg replacer, milk powder, beaten eggs, vinegar and oil. Beat until well combined.**Combine the flour mixture, egg mixture and yeast together and beat well. A standup mixture works best for this. Add tepid water to dough if mixture is to dry. The dough should be somewhere between a normal bread dough consistency and a batter.**Pour into greased 9x5 inch bread pan and allow to rise in a warm, still place until doubled in bulk. Bake in a preheated oven at 325 degrees F (165 degrees C)  until crust is a light to medium brown. Cool ten minutes in the pan, then to room temperature outside the pan before slicing.**",7066,https://images.media-allrecipes.com/userphotos/560x315/1202095.jpg
Lemon Poppy Seed Muffins I Recipe ,167,Karen Gibson,20 m,20 m,40 m,"flour,white sugar,poppy,baking powder,baking soda,salt,egg,yogurt,vegetable oil,lemon,lemon juice,white sugar","Preheat oven to 400 degrees F (205 degrees C). Lightly grease a muffin tin.**Combine the flour, 3/4 cup white sugar, poppy seeds, baking powder, baking soda and salt.**In a separate bowl mix the eggs, yogurt, vegetable oil and lemon zest. Blend well and pour over the flour mixture. Mix until just combined. Do no overmix!**Spoon batter evenly between the prepared muffin cups. Bake at 400 degrees F (205 degrees C) for 20 minutes.**Combine the lemon juice with the remaining 3 tablespoons white sugar. Stir into sugar dissolves.**Once the muffins are baked pierce the tops several times with a toothpick. Slowly pour about 1 tablespoon of the lemon juice and sugar mixture over the tops of each muffin. Let muffins cool in pans for 10 minutes before removing them from the tin.**",7067,https://images.media-allrecipes.com/userphotos/560x315/1618431.jpg
Lemon Poppy Seed Muffins II Recipe ,63,Karen Gibson,13 m,17 m,30 m,"milk,vegetable oil,yogurt,egg,flour,white sugar,poppy,lemon,lemon,baking powder,baking soda,salt,sugar,lemon juice","^Preheat oven to 400 degrees F (205 degrees C). Grease the bottoms only of 12 muffin cups.**Beat the milk, oil, lemon yogurt and egg together. Stir in the flour, white sugar, poppy seeds, lemon zest, lemon oil, baking powder, baking soda and salt. Mix until just combined. Divide batter evenly between muffin cups.**Bake at 400 degrees F (205 degrees C). For 16 to 18 minutes or until golden brown. Drizzle with glaze immediately and let cool on rocks.**To Make Glaze: Stir the confectioners^^ sugar with the lemon juice and mix until smooth and of drizzling consistency. Add drops of milk if thinning is necessary.**^",7068,https://images.media-allrecipes.com/userphotos/250x250/90970.jpg
